,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
171938,Bermuda,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
175603,Bhutan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.08,3.15,0.74,D
179268,Bolivia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.09,4.10,1.37,D
182933,Bosnia and Herzegovina,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,26.14,27.30,3.16,A
186598,Botswana,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,17.12,17.55,2.03,A
190263,Brazil,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.76,9.55,2.17,B
193928,British Virgin Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
197593,Brunei Darussalam,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.55,5.60,0.79,C
201258,Bulgaria,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.14,10.20,3.23,B
204923,Burkina Faso,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.21,3.30,0.44,D
208588,Burundi,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.62,1.60,0.04,D
212253,Cabo Verde,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.89,10.85,0.28,B
215918,Cambodia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,0.81,0.40,0.79,D
219583,Cameroon,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.06,4.10,0.98,D
223248,Canada,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.03,6.95,0.79,C
226913,Cayman Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
230578,Central African Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.13,6.20,0.19,C
234243,Chad,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.74,5.70,0.08,C
237908,Channel Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.29,7.30,0.55,B
241573,Chile,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.70,7.75,1.16,B
245238,China,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.26,4.30,0.24,D
248903,Colombia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,12.15,11.50,3.03,A
252568,Comoros,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,20.13,20.10,0.15,A
256233,"Congo, Dem. Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.69,3.70,0.03,D
259898,"Congo, Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.47,13.30,2.26,A
263563,Costa Rica,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.32,7.15,2.27,B
267228,Cote d'Ivoire,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.22,9.20,0.10,B
270893,Croatia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,12.57,12.10,3.05,A
274558,Cuba,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.68,2.20,1.20,D
278223,Curacao,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
281888,Cyprus,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.97,5.35,3.94,C
285553,Czech Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.82,7.00,1.23,C
289218,Denmark,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.60,5.40,1.70,C
292883,Djibouti,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.16,6.20,0.08,C
296548,Dominica,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
300213,Dominican Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.59,13.30,0.88,A
303878,Ecuador,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.18,6.30,1.75,C
307543,"Egypt, Arab Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.45,9.95,1.72,B
311208,El Salvador,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.60,6.60,0.52,C
314873,Equatorial Guinea,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.27,6.10,0.57,C
318538,Eritrea,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.64,6.65,0.13,C
322203,Estonia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.85,9.30,4.03,B
325868,Ethiopia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.28,5.20,0.24,C
329533,Faroe Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
333198,Fiji,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.10,8.75,1.45,B
336863,Finland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.08,8.00,1.24,B
340528,France,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.19,9.15,0.96,B
344193,French Polynesia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.54,11.90,4.25,A
347858,Gabon,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,18.35,17.65,1.74,A
351523,"Gambia, The","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,29.71,29.75,0.19,A
355188,Georgia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.58,14.80,1.81,A
358853,Germany,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.66,7.60,1.98,B
362518,Ghana,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.98,5.05,2.48,C
366183,Gibraltar,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
369848,Greece,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.85,10.60,7.03,A
373513,Greenland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
377178,Grenada,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
380843,Guam,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.15,9.15,2.77,B
384508,Guatemala,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.78,2.85,0.80,D
388173,Guinea,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.31,6.30,0.06,C
391838,Guinea-Bissau,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.19,6.20,0.06,C
395503,Guyana,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.88,10.90,0.33,B
399168,Haiti,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.22,14.35,2.36,A
402833,Honduras,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.75,3.90,0.63,D
406498,"Hong Kong SAR, China","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.26,4.15,0.85,D
410163,Hungary,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.99,8.90,1.84,B
413828,Iceland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.56,4.15,2.29,D
417493,India,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.93,3.80,0.32,D
421158,Indonesia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.99,7.70,1.78,B
424823,"Iran, Islamic Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.67,11.90,0.98,A
428488,Iraq,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,16.06,15.30,1.13,A
432153,Ireland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.23,9.20,4.75,B
435818,Isle of Man,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
439483,Israel,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.84,8.95,1.84,B
443148,Italy,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.54,8.05,2.01,B
446813,Jamaica,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,12.13,11.90,2.17,A
450478,Japan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.41,4.35,0.44,D
454143,Jordan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.14,12.90,0.80,A
457808,Kazakhstan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.09,6.60,2.26,C
461473,Kenya,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.29,11.55,1.10,A
465138,Kiribati,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
468803,"Korea, Dem. People’s Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.36,4.35,0.07,D
472468,"Korea, Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.50,3.45,0.39,D
476133,Kosovo,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
479798,Kuwait,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.13,1.80,1.00,D
483463,Kyrgyz Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.25,8.30,0.30,B
487128,Lao PDR,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.42,1.40,0.18,D
490793,Latvia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,12.51,13.05,4.69,A
494458,Lebanon,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.24,6.70,1.21,B
498123,Lesotho,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,29.98,30.15,3.90,A
501788,Liberia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.37,4.35,0.68,D
505453,Libya,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,17.58,17.65,1.05,A
509118,Liechtenstein,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
512783,Lithuania,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.22,12.60,4.84,A
516448,Luxembourg,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.60,4.80,0.94,D
520113,"Macao SAR, China","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.27,2.95,1.40,D
523778,"Macedonia, FYR","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,33.00,32.20,2.53,A
527443,Madagascar,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.67,3.85,1.67,D
531108,Malawi,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.73,6.50,0.48,C
534773,Malaysia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.26,3.25,0.23,D
538438,Maldives,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.83,1.75,0.58,D
542103,Mali,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.81,8.70,1.75,B
545768,Malta,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.53,6.45,0.31,C
549433,Marshall Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
553098,Mauritania,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.14,10.10,0.15,B
556763,Mauritius,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.24,8.20,0.81,B
560428,Mexico,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.30,4.40,0.96,D
564093,"Micronesia, Fed. Sts.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
567758,Moldova,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.35,6.55,1.38,C
571423,Monaco,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
575088,Mongolia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.01,6.20,1.83,C
578753,Montenegro,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,19.08,19.45,0.89,A
582418,Morocco,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.90,9.40,1.44,B
586083,Mozambique,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,23.47,23.35,0.47,A
589748,Myanmar,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,0.80,0.80,0.00,D
593413,Namibia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,20.57,20.25,1.32,A
597078,Nauru,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
600743,Nepal,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.70,2.85,0.58,D
604408,Netherlands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.31,4.15,1.43,D
608073,New Caledonia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.30,14.00,0.73,A
611738,New Zealand,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.14,5.80,1.17,D
615403,Nicaragua,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.75,6.45,1.57,C
619068,Niger,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.67,2.40,0.47,D
622733,Nigeria,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.17,7.15,0.23,B
626398,Northern Mariana Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
630063,Norway,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.27,3.30,0.53,D
633728,Oman,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,18.79,19.10,0.78,A
637393,Pakistan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.04,6.00,0.86,C
641058,Palau,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
644723,Panama,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.97,6.45,2.97,C
648388,Papua New Guinea,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.59,2.60,0.12,D
652053,Paraguay,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.88,5.65,0.84,C
655718,Peru,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.58,5.45,1.76,C
659383,Philippines,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.76,7.40,1.25,B
663048,Poland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.23,9.85,3.50,A
666713,Portugal,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.92,8.70,3.90,B
670378,Puerto Rico,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.05,12.90,2.27,A
674043,Qatar,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,0.72,0.50,0.48,D
677708,Romania,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.87,7.00,0.45,C
681373,Russian Federation,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.01,6.80,1.53,C
685038,Rwanda,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.64,2.75,0.80,D
688703,Samoa,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.75,5.45,2.75,C
692368,San Marino,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
696033,Sao Tome and Principe,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.72,14.35,1.56,A
699698,Saudi Arabia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.54,5.60,0.45,C
703363,Senegal,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.72,9.95,0.69,B
707028,Serbia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,19.02,20.00,3.88,A
710693,Seychelles,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
714358,Sierra Leone,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.09,3.05,0.14,D
718023,Singapore,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.76,3.80,0.90,D
721688,Sint Maarten (Dutch part),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
725353,Slovak Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.76,13.80,2.67,A
729018,Slovenia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.88,6.70,1.77,C
732683,Solomon Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,31.22,31.05,0.66,A
736348,Somalia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.09,6.10,0.07,C
740013,South Africa,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,24.01,24.20,1.34,A
743678,South Sudan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
747343,Spain,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,16.10,15.85,6.82,A
751008,Sri Lanka,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.65,5.55,1.35,C
754673,St. Kitts and Nevis,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
758338,St. Lucia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,17.41,17.60,2.99,A
762003,St. Martin (French part),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
765668,St. Vincent and the Grenadines,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,18.94,18.95,0.64,A
769333,Sudan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.75,13.55,0.85,A
772998,Suriname,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.12,7.60,2.65,B
776663,Swaziland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,26.70,27.30,1.75,A
780328,Sweden,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.34,7.65,1.05,B
783993,Switzerland,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.94,4.05,0.55,D
787658,Syrian Arab Republic,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,10.66,9.40,2.84,B
791323,Tajikistan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.34,11.45,0.29,A
794988,Tanzania,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.97,2.95,0.55,D
798653,Thailand,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.20,1.20,0.51,D
802318,Timor-Leste,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.91,5.25,1.66,D
805983,Togo,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.31,6.30,0.06,C
809648,Tonga,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.08,5.05,0.09,D
813313,Trinidad and Tobago,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.21,5.40,2.42,C
816978,Tunisia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,14.40,13.15,2.27,A
820643,Turkey,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.33,8.85,1.67,B
824308,Turkmenistan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.12,9.10,0.08,B
827973,Turks and Caicos Islands,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
831638,Tuvalu,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
835303,Uganda,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.42,2.35,0.73,D
838968,Ukraine,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.79,7.35,1.54,B
842633,United Arab Emirates,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,3.64,4.05,0.65,D
846298,United Kingdom,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.54,6.55,1.29,C
849963,United States,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.74,6.60,2.16,C
853628,Uruguay,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.62,7.50,2.58,B
857293,Uzbekistan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.13,9.15,0.08,B
860958,Vanuatu,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.49,5.50,0.12,C
864623,"Venezuela, RB","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.76,7.90,2.02,B
868288,Vietnam,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,2.27,2.30,0.26,D
871953,Virgin Islands (U.S.),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.42,8.40,0.90,B
875618,West Bank and Gaza,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,22.47,23.55,3.06,A
879283,"Yemen, Rep.","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,15.87,15.90,1.90,A
882948,Zambia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.17,11.45,3.02,A
886613,Zimbabwe,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.36,5.40,0.42,C
