,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
93143,Afghanistan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,17.05,17.05,,D
96808,Albania,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,91.00,91.66,4.26,B
100473,Algeria,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,69.74,64.23,18.58,C
104138,American Samoa,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
107803,Andorra,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
111468,Angola,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,20.37,19.39,1.87,D
115133,Antigua and Barbuda,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,87.42,86.11,9.92,B
118798,Argentina,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,82.73,82.43,4.58,B
122463,Armenia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.38,95.43,5.48,A
126128,Aruba,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.82,94.75,5.69,B
129793,Australia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
133458,Austria,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,100.54,101.14,1.91,A
137123,Azerbaijan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,83.92,89.09,16.31,B
140788,"Bahamas, The","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.20,96.68,4.82,A
144453,Bahrain,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.27,93.61,1.93,B
148118,Bangladesh,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,55.81,53.56,5.15,C
151783,Barbados,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,103.14,101.73,3.84,A
155448,Belarus,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,116.43,102.86,34.51,A
159113,Belgium,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.75,89.95,4.30,B
162778,Belize,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,60.43,61.22,4.13,C
166443,Benin,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,30.36,30.61,13.14,D
170108,Bermuda,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,83.86,84.49,6.18,B
173773,Bhutan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,55.83,56.92,15.65,C
177438,Bolivia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.08,89.22,5.07,B
181103,Bosnia and Herzegovina,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
184768,Botswana,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.80,86.75,1.58,B
188433,Brazil,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,71.69,71.69,0.09,C
192098,British Virgin Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,85.96,86.58,6.71,B
195763,Brunei Darussalam,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,105.43,104.24,4.57,A
199428,Bulgaria,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,53.46,53.76,9.70,C
203093,Burkina Faso,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,14.55,15.15,4.76,D
206758,Burundi,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,15.30,16.27,5.26,D
210423,Cabo Verde,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,71.83,73.44,8.30,C
214088,Cambodia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,42.71,44.14,5.12,D
217753,Cameroon,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,28.16,25.05,9.98,D
221418,Canada,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
225083,Cayman Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
228748,Central African Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,10.18,9.34,2.23,D
232413,Chad,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,14.80,16.12,3.25,D
236078,Channel Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
239743,Chile,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.45,96.14,1.81,A
243408,China,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.59,94.98,6.32,A
247073,Colombia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.58,85.40,8.16,B
250738,Comoros,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,45.14,45.14,,D
254403,"Congo, Dem. Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,40.07,40.07,0.55,D
258068,"Congo, Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,43.75,45.56,8.36,D
261733,Costa Rica,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,55.64,56.64,4.10,C
265398,Cote d'Ivoire,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,29.66,28.69,4.09,D
269063,Croatia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,98.00,97.88,3.93,A
272728,Cuba,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.92,94.25,3.26,A
276393,Curacao,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
280058,Cyprus,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.80,96.10,4.59,A
283723,Czech Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.43,94.24,3.92,B
287388,Denmark,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,98.09,97.87,1.23,A
291053,Djibouti,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,29.47,21.29,13.49,D
294718,Dominica,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,87.99,87.85,4.60,B
298383,Dominican Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,75.87,76.50,6.82,C
302048,Ecuador,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,72.41,72.03,12.38,C
305713,"Egypt, Arab Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,79.07,79.07,7.64,C
309378,El Salvador,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,78.40,74.98,6.27,C
313043,Equatorial Guinea,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,24.07,23.82,7.20,D
316708,Eritrea,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,36.66,34.84,9.20,D
320373,Estonia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,100.72,100.73,5.40,A
324038,Ethiopia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,26.00,27.67,4.18,D
327703,Faroe Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
331368,Fiji,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,94.53,94.96,3.55,A
335033,Finland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,98.59,97.81,2.50,A
338698,France,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,101.38,102.22,2.47,A
342363,French Polynesia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
346028,Gabon,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
349693,"Gambia, The","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,60.65,63.46,7.89,C
353358,Georgia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.93,94.05,7.46,A
357023,Germany,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,83.73,83.88,2.30,B
360688,Ghana,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,64.20,66.43,6.35,C
364353,Gibraltar,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
368018,Greece,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.98,96.10,5.11,A
371683,Greenland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
375348,Grenada,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,85.91,81.98,10.94,B
379013,Guam,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
382678,Guatemala,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,50.20,51.20,9.34,C
386343,Guinea,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,29.14,31.17,8.28,D
390008,Guinea-Bissau,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,23.91,23.91,16.02,D
393673,Guyana,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,80.53,77.35,9.04,B
397338,Haiti,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
401003,Honduras,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,46.50,47.12,3.28,D
404668,"Hong Kong SAR, China","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.90,96.00,2.94,A
408333,Hungary,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.13,95.13,,A
411998,Iceland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,98.79,97.62,4.26,A
415663,India,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,72.11,72.38,8.13,C
419328,Indonesia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,79.35,81.12,6.73,C
422993,"Iran, Islamic Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,88.58,88.55,5.70,B
426658,Iraq,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,38.22,38.22,13.92,D
430323,Ireland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,100.29,101.68,5.07,A
433988,Isle of Man,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
437653,Israel,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.95,98.13,2.30,A
441318,Italy,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,101.30,102.28,1.99,A
444983,Jamaica,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.43,98.88,3.83,A
448648,Japan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
452313,Jordan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,87.26,88.03,3.27,B
455978,Kazakhstan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.20,95.79,2.96,A
459643,Kenya,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
463308,Kiribati,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
466973,"Korea, Dem. People’s Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,103.29,103.29,,A
470638,"Korea, Rep.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,99.62,97.68,5.42,A
474303,Kosovo,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
477968,Kuwait,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,93.34,92.34,8.23,B
481633,Kyrgyz Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,80.98,86.93,19.54,B
485298,Lao PDR,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,43.54,43.47,3.61,D
488963,Latvia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,102.82,102.82,,A
492628,Lebanon,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,66.20,63.86,7.98,C
496293,Lesotho,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,34.86,32.13,5.26,D
499958,Liberia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,38.82,38.86,2.71,D
503623,Libya,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
507288,Liechtenstein,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,98.20,102.70,17.04,A
510953,Lithuania,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,91.91,92.36,7.38,B
514618,Luxembourg,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,100.35,98.73,5.03,A
518283,"Macao SAR, China","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,92.01,92.21,7.75,B
521948,"Macedonia, FYR","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,92.12,92.41,2.27,B
525613,Madagascar,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,25.55,25.61,7.44,D
529278,Malawi,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,19.01,18.96,1.21,D
532943,Malaysia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.25,86.18,0.94,B
536608,Maldives,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.70,98.16,7.02,A
540273,Mali,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,33.69,33.38,4.05,D
543938,Malta,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.66,98.59,5.36,A
547603,Marshall Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,120.64,117.86,9.08,A
551268,Mauritania,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,18.22,17.67,1.68,D
554933,Mauritius,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,81.04,81.48,3.00,B
558598,Mexico,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,78.89,79.93,3.69,C
562263,"Micronesia, Fed. Sts.","Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
565928,Moldova,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.76,86.86,1.65,B
569593,Monaco,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
573258,Mongolia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.98,91.33,13.28,B
576923,Montenegro,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,84.26,84.26,12.64,B
580588,Morocco,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,54.49,58.88,9.88,C
584253,Mozambique,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,15.85,17.94,6.30,D
587918,Myanmar,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,40.40,41.07,4.18,D
591583,Namibia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,58.80,59.03,2.68,C
595248,Nauru,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,77.04,77.04,,C
598913,Nepal,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,65.97,68.52,12.96,C
602578,Netherlands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
606243,New Caledonia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
609908,New Zealand,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
613573,Nicaragua,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,59.56,61.19,7.64,C
617238,Niger,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,9.02,9.04,2.18,D
620903,Nigeria,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,35.79,35.79,15.38,D
624568,Northern Mariana Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
628233,Norway,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,100.25,100.23,1.88,A
631898,Oman,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,94.02,95.51,12.21,A
635563,Pakistan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,41.84,41.71,4.24,D
639228,Palau,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
642893,Panama,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,66.05,67.25,7.88,C
646558,Papua New Guinea,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,62.53,62.53,,C
650223,Paraguay,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,76.48,73.91,6.71,C
653888,Peru,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,85.38,86.89,3.57,B
657553,Philippines,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,77.12,78.15,4.98,C
661218,Poland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.30,95.30,0.04,A
664883,Portugal,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
668548,Puerto Rico,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
672213,Qatar,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,97.20,95.94,11.17,A
675878,Romania,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,91.67,90.37,6.89,B
679543,Russian Federation,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,79.65,77.69,8.17,B
683208,Rwanda,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,35.62,35.62,,D
686873,Samoa,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,102.09,102.35,4.93,A
690538,San Marino,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.35,95.21,4.47,A
694203,Sao Tome and Principe,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,42.85,34.08,19.48,D
697868,Saudi Arabia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,90.96,95.29,7.86,B
701533,Senegal,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,27.24,28.68,6.89,D
705198,Serbia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.70,95.54,2.82,A
708863,Seychelles,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,106.82,108.11,3.67,A
712528,Sierra Leone,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,50.62,52.46,4.79,C
716193,Singapore,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
719858,Sint Maarten (Dutch part),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
723523,Slovak Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,83.48,83.07,2.07,B
727188,Slovenia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.22,95.94,2.70,A
730853,Solomon Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,55.81,63.51,16.04,C
734518,Somalia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
738183,South Africa,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,77.02,77.02,,C
741848,South Sudan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,16.75,16.75,,D
745513,Spain,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,80.97,80.97,0.49,B
749178,Sri Lanka,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.88,96.55,2.85,A
752843,St. Kitts and Nevis,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,105.76,105.75,8.07,A
756508,St. Lucia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.60,85.74,10.45,B
760173,St. Martin (French part),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
763838,St. Vincent and the Grenadines,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,96.11,93.78,14.18,A
767503,Sudan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,48.96,50.35,2.70,D
771168,Suriname,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,41.63,40.75,1.90,D
774833,Swaziland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,42.87,43.83,5.29,D
778498,Sweden,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,94.35,93.64,2.07,A
782163,Switzerland,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,95.00,94.72,1.67,A
785828,Syrian Arab Republic,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,62.26,64.80,7.42,C
789493,Tajikistan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,88.78,87.69,4.11,B
793158,Tanzania,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,23.80,21.08,13.13,D
796823,Thailand,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,81.26,81.26,,B
800488,Timor-Leste,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,69.77,73.42,10.29,C
804153,Togo,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,35.22,36.92,5.63,D
807818,Tonga,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
811483,Trinidad and Tobago,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.15,89.61,7.43,B
815148,Tunisia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,72.39,71.08,4.76,C
818813,Turkey,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,94.58,94.29,3.78,A
822478,Turkmenistan,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
826143,Turks and Caicos Islands,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
829808,Tuvalu,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
833473,Uganda,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,24.04,25.20,4.37,D
